Variable,Level,no,yes,Missing_no,Missing_yes
sex,female,680 (70.3%),287 (81.1%),0,0
,male,287 (29.7%),67 (18.9%),,
mEthnicity,White,848 (88.6%),323 (91.8%),10,2
,non-white,109 (11.4%),29 (8.2%),,
FHYPER,,3.054 (2.461),3.549 (2.610),19,10
FCONDUCT,,1.636 (1.746),2.076 (1.942),18,10
FPEER,,1.838 (1.835),2.750 (2.143),18,10
FPROSOC,,8.213 (1.947),8.180 (1.935),19,10
FEMOTION,,2.543 (2.328),3.826 (2.747),18,10
SelfEsteem,,11.490 (3.275),12.935 (3.580),0,0
Depression,,24.826 (6.774),28.243 (7.357),0,0
cog_word_activity,,7.358 (2.597),7.012 (2.603),50,18
cog_decision_making,,0.883 (0.130),0.887 (0.127),55,18
cog_risk_adjustment,,0.993 (0.973),1.017 (0.955),55,18
cog_risk_taking,,0.503 (0.150),0.486 (0.149),55,18
